destination,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
1,0,1026,1077,1108,4918,698,439,0,10,11518,17867,718,222,3126,1303,699,566,2498,1429,52,960,972,2801,487,7706,1501,537,173,569,0,743,1838,2735,5663,148,3678,669,228,1488,121,1795,318,8806,4413,1881,19,3303,589,109,296,282,312
2,572,0,733,403,2874,2359,22,0,0,781,1808,257,555,2012,775,31,984,206,167,44,528,95,563,111,140,876,195,0,469,16,233,620,694,2744,95,734,318,1264,1074,0,354,54,570,2477,1363,6,727,2984,257,216,0,184
4,2140,4418,0,310,47959,8325,1029,534,230,6828,2647,2776,3563,7264,3688,2680,1818,885,1478,881,1812,1331,8099,5618,500,2768,2087,2749,9442,462,3817,6526,6846,2583,906,3692,1701,9331,5726,464,2045,1508,3292,17742,9093,306,3771,14756,188,5694,1838,376
5,0,1193,661,0,4925,1557,870,0,330,1751,2870,118,251,3117,999,949,1650,1915,4467,0,1281,0,429,289,1422,5273,41,137,348,361,437,209,1034,542,0,1836,8892,786,244,30,339,94,4285,12937,237,0,514,520,150,331,0,8
6,2958,8457,36567,3687,0,16151,5145,300,3823,25950,11773,13610,6192,19961,8799,3563,4680,3895,3764,1104,9781,12947,9172,7376,2450,7146,3147,1262,29897,1198,10498,6290,30704,10858,710,6742,3717,20128,11426,1658,7283,981,7020,32290,12631,1029,12810,37246,967,4704,1030,3179
8,2926,1606,8798,1235,23714,0,861,551,78,9448,6671,1363,2542,7528,2197,2868,6545,2287,2374,881,2920,2194,2718,3754,1168,6317,2636,3457,2498,536,1426,5968,7848,4858,974,4566,5138,2793,3773,522,1312,1651,2295,23490,6240,689,6980,6173,246,2623,4307,686
9,337,1688,1791,0,4206,1066,0,1332,367,5768,2303,398,0,2040,305,0,210,70,24,366,1228,7645,1193,775,57,339,60,0,122,2547,5504,197,23051,1806,0,1156,65,271,6571,3607,1609,0,1139,1997,433,621,2665,672,183,435,132,2761
10,0,272,0,0,810,74,602,0,292,1034,926,0,0,156,0,0,0,180,213,53,7932,94,171,204,404,477,0,131,0,0,4520,258,3527,1374,0,453,91,0,10778,0,532,0,163,240,0,0,776,0,53,0,0,0
11,316,579,79,0,2427,337,1597,336,0,1307,1497,339,0,753,215,27,0,46,858,0,9237,1557,622,0,0,278,44,22,0,108,2173,411,4770,1253,0,315,155,194,2177,1150,506,203,560,1625,126,0,7814,159,391,5,3,62
