"placeA_STATEFP","placeA_COUNTYFP","placeA_FIPS","placeB_STATEFP","placeB_COUNTYFP","placeB_FIPS","placeA_st_name","placeA_co_name","placeB_st_name","placeB_co_name","BtoA","AtoB","BtoA_net","AB_gross","net_abs"
"8","1","08001","1","43","01043","Colorado","Adams County","Alabama","Cullman County","2","0","2","2",""
"8","1","08001","1","45","01045","Colorado","Adams County","Alabama","Dale County","0","33","-33","33",""
"8","1","08001","1","51","01051","Colorado","Adams County","Alabama","Elmore County","0","6","-6","6",""
"8","1","08001","1","55","01055","Colorado","Adams County","Alabama","Etowah County","0","9","-9","9",""
"8","1","08001","1","89","01089","Colorado","Adams County","Alabama","Madison County","146","0","146","146",""
"8","1","08001","1","97","01097","Colorado","Adams County","Alabama","Mobile County","20","0","20","20",""
"8","1","08001","1","115","01115","Colorado","Adams County","Alabama","St. Clair County","0","106","-106","106",""
"8","1","08001","1","117","01117","Colorado","Adams County","Alabama","Shelby County","0","23","-23","23",""
"8","1","08001","2","20","02020","Colorado","Adams County","Alaska","Anchorage Municipality","0","13","-13","13",""
"8","1","08001","2","122","02122","Colorado","Adams County","Alaska","Kenai Peninsula Borough","0","62","-62","62",""
"8","1","08001","2","170","02170","Colorado","Adams County","Alaska","Matanuska-Susitna Borough","0","17","-17","17",""
"8","1","08001","4","13","04013","Colorado","Adams County","Arizona","Maricopa County","750","261","489","1,011",""
"8","1","08001","4","15","04015","Colorado","Adams County","Arizona","Mohave County","0","49","-49","49",""
"8","1","08001","4","17","04017","Colorado","Adams County","Arizona","Navajo County","0","2","-2","2",""
"8","1","08001","4","19","04019","Colorado","Adams County","Arizona","Pima County","27","18","9","45",""
"8","1","08001","4","21","04021","Colorado","Adams County","Arizona","Pinal County","14","52","-38","66",""
"8","1","08001","4","25","04025","Colorado","Adams County","Arizona","Yavapai County","124","0","124","124",""
"8","1","08001","5","7","05007","Colorado","Adams County","Arkansas","Benton County","2","0","2","2",""
"8","1","08001","5","31","05031","Colorado","Adams County","Arkansas","Craighead County","0","19","-19","19",""
"8","1","08001","5","51","05051","Colorado","Adams County","Arkansas","Garland County","0","16","-16","16",""
"8","1","08001","5","55","05055","Colorado","Adams County","Arkansas","Greene County","45","0","45","45",""
"8","1","08001","5","65","05065","Colorado","Adams County","Arkansas","Izard County","0","10","-10","10",""
"8","1","08001","5","85","05085","Colorado","Adams County","Arkansas","Lonoke County","0","1","-1","1",""
"8","1","08001","5","101","05101","Colorado","Adams County","Arkansas","Newton County","4","0","4","4",""
"8","1","08001","5","113","05113","Colorado","Adams County","Arkansas","Polk County","0","1","-1","1",""
"8","1","08001","5","115","05115","Colorado","Adams County","Arkansas","Pope County","0","2","-2","2",""
"8","1","08001","5","119","05119","Colorado","Adams County","Arkansas","Pulaski County","0","4","-4","4",""
"8","1","08001","5","131","05131","Colorado","Adams County","Arkansas","Sebastian County","0","36","-36","36",""
"8","1","08001","5","137","05137","Colorado","Adams County","Arkansas","Stone County","0","55","-55","55",""
"8","1","08001","5","143","05143","Colorado","Adams County","Arkansas","Washington County","29","0","29","29",""
"8","1","08001","6","1","06001","Colorado","Adams County","California","Alameda County","23","66","-43","89",""
"8","1","08001","6","7","06007","Colorado","Adams County","California","Butte County","8","41","-33","49",""
"8","1","08001","6","13","06013","Colorado","Adams County","California","Contra Costa County","11","32","-21","43",""
"8","1","08001","6","17","06017","Colorado","Adams County","California","El Dorado County","6","10","-4","16",""
"8","1","08001","6","19","06019","Colorado","Adams County","California","Fresno County","16","18","-2","34",""
"8","1","08001","6","23","06023","Colorado","Adams County","California","Humboldt County","0","14","-14","14",""
"8","1","08001","6","29","06029","Colorado","Adams County","California","Kern County","90","95","-5","185",""
"8","1","08001","6","37","06037","Colorado","Adams County","California","Los Angeles County","238","132","106","370",""
"8","1","08001","6","41","06041","Colorado","Adams County","California","Marin County","39","6","33","45",""
"8","1","08001","6","47","06047","Colorado","Adams County","California","Merced County","22","0","22","22",""
"8","1","08001","6","55","06055","Colorado","Adams County","California","Napa County","0","9","-9","9",""
"8","1","08001","6","59","06059","Colorado","Adams County","California","Orange County","225","135","90","360",""
"8","1","08001","6","61","06061","Colorado","Adams County","California","Placer County","15","0","15","15",""
"8","1","08001","6","65","06065","Colorado","Adams County","California","Riverside County","75","28","47","103",""
"8","1","08001","6","67","06067","Colorado","Adams County","California","Sacramento County","0","13","-13","13",""
"8","1","08001","6","71","06071","Colorado","Adams County","California","San Bernardino County","89","133","-44","222",""
"8","1","08001","6","73","06073","Colorado","Adams County","California","San Diego County","218","100","118","318",""
"8","1","08001","6","75","06075","Colorado","Adams County","California","San Francisco County","0","8","-8","8",""
"8","1","08001","6","77","06077","Colorado","Adams County","California","San Joaquin County","0","32","-32","32",""
"8","1","08001","6","79","06079","Colorado","Adams County","California","San Luis Obispo County","0","20","-20","20",""
"8","1","08001","6","81","06081","Colorado","Adams County","California","San Mateo County","22","0","22","22",""
"8","1","08001","6","83","06083","Colorado","Adams County","California","Santa Barbara County","0","12","-12","12",""
"8","1","08001","6","85","06085","Colorado","Adams County","California","Santa Clara County","15","23","-8","38",""
"8","1","08001","6","95","06095","Colorado","Adams County","California","Solano County","0","65","-65","65",""
"8","1","08001","6","99","06099","Colorado","Adams County","California","Stanislaus County","58","0","58","58",""
"8","1","08001","6","107","06107","Colorado","Adams County","California","Tulare County","0","16","-16","16",""
"8","1","08001","6","111","06111","Colorado","Adams County","California","Ventura County","106","16","90","122",""
"8","1","08001","8","3","08003","Colorado","Adams County","Colorado","Alamosa County","13","17","-4","30",""
"8","1","08001","8","5","08005","Colorado","Adams County","Colorado","Arapahoe County","5,881","5,377","504","11,258",""
"8","1","08001","8","9","08009","Colorado","Adams County","Colorado","Baca County","0","1","-1","1",""
"8","1","08001","8","11","08011","Colorado","Adams County","Colorado","Bent County","29","14","15","43",""
