placeA_FIPS,placeB_FIPS,BtoA,AtoB
19001,6065,2,0
19001,19003,32,8
19001,19009,10,53
19001,19015,6,8
19001,19021,0,3
19001,19025,12,0
19001,19029,5,0
19001,19041,6,0
19001,19049,11,83
19001,19053,0,2
19001,19069,2,0
19001,19077,91,56
19001,19087,2,0
19001,19099,5,0
19001,19103,0,17
19001,19105,0,7
19001,19109,0,6
19001,19113,0,12
19001,19115,0,35
19001,19117,0,26
19001,19121,11,39
19001,19123,0,6
19001,19127,4,0
19001,19139,0,47
19001,19141,16,0
19001,19145,15,0
19001,19153,58,176
19001,19155,8,7
19001,19157,6,0
19001,19159,0,1
19001,19163,0,22
19001,19165,65,0
19001,19169,3,5
19001,19171,0,7
19001,19173,0,7
19001,19175,29,12
19001,19181,32,6
19001,19187,3,0
19001,19193,0,28
19001,20173,17,0
19001,20177,6,0
19001,26147,2,0
19001,26151,2,0
19001,27109,2,0
19001,29147,2,0
19001,31023,2,0
19001,31055,24,0
19001,31127,0,7
19001,31155,2,0
19001,31173,2,0
19001,45045,4,0
19001,EUR000,1,
19003,13145,1,0
19003,17089,1,0
19003,19013,5,0
19003,19029,2,0
19003,19039,0,6
19003,19053,0,9
19003,19059,11,0
19003,19073,7,0
19003,19099,1,4
19003,19101,0,1
19003,19103,1,0
19003,19107,4,0
19003,19111,1,0
19003,19117,0,5
19003,19129,3,0
19003,19137,9,7
19003,19139,0,1
19003,19153,4,0
19003,19155,1,0
19003,19159,1,0
19003,19161,31,0
19003,19169,1,0
19003,19173,38,19
19003,19175,22,42
19003,19179,1,0
19003,19183,0,68
19003,19187,2,0
19003,19193,0,14
19003,29081,0,6
19003,29099,0,8
19003,29147,0,15
19003,29510,1,0
19003,31037,12,0
19003,31055,1,0
19003,37069,7,0
19003,38101,1,0
19003,45051,2,0
19003,AFR000,1,
19003,ASI000,7,
19003,EUR000,11,
19005,2122,39,0
19005,8077,21,0
19005,9005,6,0
19005,17031,11,0
19005,17085,18,0
19005,19013,51,83
19005,19019,3,0
19005,19021,24,0
19005,19025,3,0
19005,19031,18,0
19005,19033,0,24
19005,19043,57,28
19005,19055,0,8
19005,19061,78,12
19005,19065,61,0
19005,19067,0,2
19005,19089,3,2
19005,19097,25,0
19005,19099,21,0
19005,19103,0,18
19005,19105,5,5
19005,19111,6,11
19005,19113,20,18
19005,19123,7,0
19005,19127,5,0
19005,19135,3,0
19005,19153,9,0
19005,19155,0,9
19005,19161,12,0
19005,19163,13,6
19005,19169,0,35
19005,19175,0,1
19005,19185,2,0
19005,19189,0,1
19005,19191,49,9
19005,20173,5,0
19005,24021,0,15
19005,24510,39,0
19005,27045,0,6
19005,27053,8,0
19005,27055,31,15
19005,27059,0,2
19005,27067,0,34
19005,27131,27,0
19005,37077,0,11
19005,45035,54,0
19005,48203,1,0
19005,48277,0,7
19005,51153,0,10
19005,51810,0,9
19005,53067,4,0
19005,55023,0,16
19005,55027,38,0
19005,55043,0,8
19005,55063,10,10
19005,55081,27,0
19005,55115,11,0
19005,55123,0,4
19005,55127,0,2
19005,55131,0,58
19005,CAM000,78,
19005,EUR000,23,
19007,4013,0,75
19007,4019,6,0
19007,4021,9,0
19007,5007,14,0
19007,6037,3,0
19007,6073,4,15
19007,6085,10,0
19007,8059,0,9
19007,8123,0,60
19007,19013,0,8
19007,19015,2,0
19007,19021,0,3
19007,19029,1,0
19007,19049,10,0
19007,19051,14,38
19007,19057,7,0
19007,19099,0,10
19007,19101,7,0
19007,19103,0,19
19007,19107,0,7
19007,19111,34,0
19007,19117,3,0
19007,19123,3,45
19007,19125,24,17
19007,19127,3,0
19007,19135,42,0
19007,19139,2,0
19007,19145,0,2
19007,19153,0,38
19007,19155,1,0
19007,19163,0,43
19007,19169,13,0
19007,19171,2,0
19007,19175,5,0
19007,19177,11,19
19007,19179,11,42
19007,19181,0,40
19007,19185,54,101
19007,21041,0,3
19007,21069,0,6
19007,27117,10,0
19007,29001,10,0
19007,29019,11,0
19007,29047,6,0
19007,29079,0,24
19007,29095,31,0
19007,29115,4,0
19007,29127,0,8
19007,29171,20,95
19007,29209,0,11
19007,31055,13,0
19007,31067,87,0
19007,31131,83,0
19007,31173,2,0
19007,34013,1,0
19007,36089,3,0
19007,40003,0,2
19007,41039,6,0
19007,47131,3,0
19007,47187,5,0
19007,48027,4,0
19007,48061,1,0
19007,48277,0,22
19007,48355,58,0
19007,55117,9,0
19009,5141,4,0
19009,6037,0,61
19009,6073,0,43
19009,17067,4,0
19009,18131,2,0
19009,19025,0,46
19009,19027,0,98
19009,19029,42,6
19009,19047,2,0
19009,19053,3,0
19009,19077,0,18
19009,19085,0,2
19009,19087,1,0
19009,19099,0,19
19009,19103,0,25
19009,19113,5,0
19009,19133,0,8
19009,19143,0,4
19009,19147,0,16
19009,19153,1,18
19009,19155,40,37
19009,19165,15,12
19009,19169,23,30
19009,19173,0,1
19009,19175,8,0
19009,19185,2,0
19009,27015,1,0
19009,27091,5,0
19009,31021,0,6
19009,31055,0,22
19009,31125,0,39
19009,31153,8,0
19009,31177,0,43
19009,48215,0,28
19009,51700,0,15
19009,ASI000,7,
19011,1115,0,97
19011,4013,0,23
19011,6065,13,0
19011,6067,1,0
19011,8069,0,11
19011,8123,11,0
19011,13053,0,17
19011,13135,0,22
19011,13215,0,59
19011,13245,0,12
19011,19013,63,95
19011,19015,0,9
19011,19017,1,0
19011,19019,19,16
19011,19021,0,2
19011,19027,6,0
19011,19029,0,7
19011,19031,3,47
19011,19033,0,3
19011,19035,0,10
19011,19041,2,4
19011,19043,7,4
19011,19045,0,26
19011,19055,10,18
19011,19057,0,1
19011,19061,0,24
19011,19063,1,26
19011,19065,22,3
19011,19075,18,0
19011,19091,0,13
19011,19095,90,18
19011,19097,0,4
19011,19103,45,17
19011,19105,7,2
19011,19109,1,2
19011,19113,342,894
19011,19119,0,3
19011,19123,0,11
19011,19125,0,5
19011,19127,6,19
19011,19139,9,0
19011,19141,0,15
19011,19145,0,12
19011,19157,43,9
19011,19161,0,12
19011,19163,22,34
19011,19169,7,0
19011,19171,10,28
19011,19183,13,0
19011,19187,64,31
19011,25005,0,9
19011,26087,1,0
19011,26129,0,17
19011,27105,0,2
19011,27109,6,0
19011,27137,3,0
19011,29001,0,15
19011,29225,0,28
19011,30023,2,0
19011,32031,13,0
19011,36059,0,6
19011,36081,1,0
19011,41005,0,24
19011,42039,3,0
19011,48085,1,0
19011,49011,14,6
19011,51099,0,60
19011,53017,16,0
19011,55019,0,2
19011,55079,12,0
19011,EUR000,12,
19013,1007,16,0
19013,1089,6,24
19013,1117,0,33
19013,2020,38,13
19013,4013,2,28
19013,4025,11,0
19013,5119,15,9
19013,5131,20,0
19013,6037,32,15
19013,6039,7,0
19013,6059,0,60
19013,6065,11,0
19013,6071,3,30
19013,6073,0,7
19013,6081,0,17
19013,6101,0,4
19013,8031,0,56
19013,8041,0,17
19013,8043,5,0
19013,8059,5,0
19013,8063,8,0
19013,8069,14,0
19013,8077,83,0
19013,12069,0,9
19013,12071,0,60
19013,12073,18,0
19013,12086,0,6
19013,12091,0,40
19013,12103,9,66
19013,12105,0,17
19013,12127,0,64
19013,13051,0,3
19013,13067,89,33
19013,13071,0,51
19013,13139,18,0
19013,13151,0,162
19013,13221,5,0
19013,17005,4,0
19013,17007,0,17
19013,17019,15,0
19013,17031,44,148
19013,17043,6,9
19013,17109,0,6
19013,17125,0,14
19013,17131,0,7
19013,17141,7,0
19013,17143,0,20
19013,17161,22,11
19013,17179,8,0
19013,17195,40,0
19013,17201,39,4
19013,18013,0,93
19013,18015,0,8
19013,18039,6,0
19013,18091,0,7
19013,19015,0,2
19013,19017,341,401
19013,19019,286,245
19013,19021,57,6
19013,19023,112,137
19013,19025,44,10
19013,19027,19,16
19013,19029,0,2
19013,19031,23,0
19013,19033,86,59
19013,19035,10,1
19013,19037,48,39
19013,19043,241,15
19013,19045,160,48
19013,19047,41,34
19013,19049,28,135
19013,19051,11,21
19013,19053,2,0
19013,19055,177,10
19013,19057,72,0
19013,19059,10,25
19013,19061,90,111
19013,19063,2,0
19013,19065,65,85
19013,19067,16,25
19013,19073,12,0
19013,19075,170,328
19013,19077,7,25
19013,19079,0,2
19013,19081,10,63
19013,19083,67,59
19013,19085,20,0
19013,19087,47,7
19013,19089,0,3
19013,19091,26,2
19013,19093,0,2
19013,19095,50,5
19013,19097,27,0
19013,19099,93,3
19013,19101,19,1
19013,19103,220,350
19013,19105,46,0
19013,19107,7,3
19013,19109,15,7
19013,19111,49,2
19013,19113,769,370
19013,19115,56,0
19013,19117,9,0
19013,19119,0,1
19013,19121,17,0
19013,19123,6,16
19013,19125,9,17
19013,19127,57,102
19013,19131,12,23
19013,19139,74,42
19013,19141,11,38
19013,19145,4,17
19013,19147,0,4
19013,19149,33,0
19013,19151,0,11
19013,19153,389,721
19013,19155,39,4
19013,19157,35,18
19013,19159,0,8
19013,19161,11,0
19013,19163,230,122
19013,19165,0,4
19013,19167,23,2
19013,19169,58,320
19013,19171,107,139
19013,19175,2,0
19013,19179,13,29
19013,19181,47,4
19013,19183,56,0
19013,19185,4,0
19013,19187,50,68
19013,19189,68,11
19013,19191,73,22
19013,19193,56,43
19013,19195,31,0
19013,19197,68,0
19013,20045,52,0
19013,20091,0,39
19013,20103,5,0
19013,20169,4,0
19013,20173,0,11
19013,20209,7,0
19013,21071,0,3
19013,21083,0,111
19013,21227,0,10
19013,22043,5,0
19013,23005,6,0
19013,24025,0,12
19013,25025,0,39
19013,27003,0,10
19013,27005,11,2
19013,27013,33,0
19013,27019,39,0
19013,27027,13,0
19013,27037,0,120
19013,27049,0,2
19013,27053,60,109
19013,27065,18,0
19013,27067,0,31
19013,27091,0,2
19013,27099,0,11
19013,27103,17,0
19013,27117,0,1
19013,27123,0,78
19013,27131,14,0
19013,27137,17,0
19013,27147,15,0
19013,27163,0,32
19013,28033,25,0
19013,28047,0,9
