"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"39001","6013","10","0"
"39001","12031","0","76"
"39001","12071","4","0"
"39001","12081","0","38"
"39001","12119","0","2"
"39001","15003","0","17"
"39001","17031","1","0"
"39001","18089","0","7"
"39001","18147","0","3"
"39001","18157","0","12"
"39001","21017","14","0"
"39001","21021","0","13"
"39001","21037","0","34"
"39001","21069","0","22"
"39001","21111","0","25"
"39001","21113","0","5"
"39001","21117","5","0"
"39001","21135","30","0"
"39001","21161","0","20"
"39001","21187","4","0"
"39001","21205","0","42"
"39001","37019","22","0"
"39001","37163","1","0"
"39001","38035","7","0"
"39001","39005","0","2"
"39001","39009","10","0"
"39001","39013","0","8"
"39001","39015","120","106"
"39001","39017","55","10"
"39001","39025","164","80"
"39001","39027","3","5"
"39001","39035","0","47"
"39001","39043","8","0"
"39001","39049","0","272"
"39001","39055","3","0"
"39001","39057","0","16"
"39001","39061","6","77"
"39001","39063","0","4"
"39001","39069","0","9"
"39001","39071","227","43"
"39001","39085","0","84"
"39001","39089","21","0"
"39001","39093","0","18"
"39001","39095","6","0"
"39001","39099","0","7"
"39001","39103","0","20"
"39001","39109","0","15"
"39001","39113","16","144"
"39001","39121","0","10"
"39001","39127","8","0"
"39001","39129","2","10"
"39001","39131","2","16"
"39001","39133","2","0"
"39001","39135","10","0"
"39001","39141","0","29"
"39001","39145","19","74"
"39001","39155","0","26"
"39001","39159","0","1"
"39001","39165","9","9"
"39001","39169","0","35"
"39001","40035","0","5"
"39001","40087","0","2"
"39001","40115","0","5"
"39001","47013","155","0"
"39001","47035","0","72"
"39001","47155","0","23"
"39001","49013","17","0"
"39001","51069","0","27"
"39001","51125","0","22"
"39001","51191","0","18"
"39001","SAM000","22",""
"39003","1009","0","2"
"39003","4001","0","59"
"39003","4013","8","67"
"39003","4019","5","0"
"39003","5059","0","38"
"39003","5107","9","0"
"39003","6073","46","0"
"39003","6075","22","0"
"39003","8037","13","0"
"39003","8069","35","0"
"39003","8075","8","0"
"39003","9001","15","0"
"39003","10001","0","28"
"39003","12009","0","9"
