"placeA_FIPS","placeB_FIPS","BtoA","AtoB"
"48441","48117","6","0"
"48441","48115","0","15"
"48441","48113","432","552"
"48441","48111","0","17"
"48441","48355","58","0"
"48441","48353","233","56"
"48441","48055","7","1"
"48441","48053","11","4"
"48441","48383","7","0"
"48441","48445","23","62"
"48441","48291","3","0"
"48441","48059","459","233"
"48441","24","34","0"
"48441","25","9","21"
"48441","26","75","11"
"48441","27","60","49"
"48441","20","145","11"
"48441","21","16","262"
"48441","22","41","51"
"48441","28","36","124"
"48441","29","22","111"
"48441","48387","72","0"
"48441","48329","134","0"
"48441","48411","0","6"
"48441","4","71","131"
"48441","8","96","242"
"48441","48385","0","26"
"48441","48325","0","13"
"48441","48237","0","103"
"48441","48453","192","125"
"48441","48103","46","0"
"48441","48349","0","14"
"48441","48347","165","0"
"48441","48459","38","32"
"48441","48061","3","0"
"48441","48495","7","0"
"48441","EUR000","240","0"
"48441","55","26","0"
"48441","54","4","26"
"48441","16","27","0"
"48441","51","117","167"
"48441","NAM000","53","0"
"48441","53","0","207"
"48441","48215","25","22"
"48441","48217","0","8"
"48441","48211","46","0"
"48441","48199","0","66"
"48441","48197","16","13"
"48441","48409","11","3"
"48441","48195","0","6"
"48441","48219","5","51"
"48441","48191","0","22"
"48441","48299","10","0"
"48441","48469","1","0"
"48441","48503","0","3"
"48441","48467","5","0"
"48441","48371","23","113"
"48441","48463","15","0"
"48441","48375","38","26"
"48441","OCE000","18","0"
"48441","48381","25","0"
"48441","48075","10","17"
"48441","48077","0","16"
"48441","48179","19","18"
"48441","48073","5","5"
"48441","CAM000","100","0"
"48441","48259","21","50"
"48441","48261","0","1"
"48441","48189","70","180"
"48441","48263","0","9"
"48441","48295","9","0"
"48441","48267","0","90"
"48441","48181","0","61"
"48441","48183","5","62"
"48441","48185","0","5"
"48441","48187","0","10"
"48441","48479","0","67"
"48441","48471","0","29"
"48441","48475","8","0"
"48441","48477","0","12"
"48441","48167","25","0"
"48441","48161","18","8"
"48441","48001","0","45"
"48441","48005","5","0"
"48441","48169","22","0"
"48441","39","61","47"
"48441","48253","182","182"
"48441","33","0","14"
"48441","32","34","44"
"48441","31","70","104"
"48441","30","0","14"
"48441","37","40","12"
"48441","36","70","53"
"48441","35","81","133"
