placeA_st_FIPS,placeA_co_FIPS,placeA_FIPS,placeB_st_FIPS,placeB_co_FIPS,placeB_FIPS,placeA_st_name,placeA_co_name,placeB_st_name,placeB_co_name,BtoA,AtoB,BtoA_net,AB_gross,net_abs
54,3,54003,24,43,24043,West Virginia,Berkeley County,Maryland,Washington County,"1,368",522,846,"1,890",846
54,11,54011,54,99,54099,West Virginia,Cabell County,West Virginia,Wayne County,"1,056",344,712,"1,400",712
54,99,54099,54,11,54011,West Virginia,Wayne County,West Virginia,Cabell County,344,"1,056",-712,"1,400",712
54,81,54081,54,19,54019,West Virginia,Raleigh County,West Virginia,Fayette County,889,208,681,"1,097",681
54,19,54019,54,81,54081,West Virginia,Fayette County,West Virginia,Raleigh County,208,889,-681,"1,097",681
54,81,54081,54,55,54055,West Virginia,Raleigh County,West Virginia,Mercer County,498,87,411,585,411
54,55,54055,54,81,54081,West Virginia,Mercer County,West Virginia,Raleigh County,87,498,-411,585,411
54,11,54011,39,87,39087,West Virginia,Cabell County,Ohio,Lawrence County,935,529,406,"1,464",406
54,11,54011,54,79,54079,West Virginia,Cabell County,West Virginia,Putnam County,633,245,388,878,388
54,79,54079,54,11,54011,West Virginia,Putnam County,West Virginia,Cabell County,245,633,-388,878,388
54,3,54003,54,31,54031,West Virginia,Berkeley County,West Virginia,Hardy County,338,0,338,338,338
54,107,54107,39,167,39167,West Virginia,Wood County,Ohio,Washington County,460,798,-338,"1,258",338
54,31,54031,54,3,54003,West Virginia,Hardy County,West Virginia,Berkeley County,0,338,-338,338,338
54,77,54077,54,61,54061,West Virginia,Preston County,West Virginia,Monongalia County,599,266,333,865,333
54,61,54061,54,77,54077,West Virginia,Monongalia County,West Virginia,Preston County,266,599,-333,865,333
54,61,54061,42,91,42091,West Virginia,Monongalia County,Pennsylvania,Montgomery County,323,19,304,342,304
54,31,54031,51,171,51171,West Virginia,Hardy County,Virginia,Shenandoah County,0,302,-302,302,302
54,89,54089,54,63,54063,West Virginia,Summers County,West Virginia,Monroe County,293,0,293,293,293
54,63,54063,54,89,54089,West Virginia,Monroe County,West Virginia,Summers County,0,293,-293,293,293
54,43,54043,54,39,54039,West Virginia,Lincoln County,West Virginia,Kanawha County,403,115,288,518,288
54,39,54039,54,43,54043,West Virginia,Kanawha County,West Virginia,Lincoln County,115,403,-288,518,288
54,21,54021,54,7,54007,West Virginia,Gilmer County,West Virginia,Braxton County,308,21,287,329,287
54,7,54007,54,21,54021,West Virginia,Braxton County,West Virginia,Gilmer County,21,308,-287,329,287
54,107,54107,2,20,2020,West Virginia,Wood County,Alaska,Anchorage Municipality,274,0,274,274,274
54,59,54059,21,195,21195,West Virginia,Mingo County,Kentucky,Pike County,145,414,-269,559,269
54,25,54025,47,187,47187,West Virginia,Greenbrier County,Tennessee,Williamson County,0,268,-268,268,268
54,9,54009,12,99,12099,West Virginia,Brooke County,Florida,Palm Beach County,0,262,-262,262,262
54,39,54039,54,79,54079,West Virginia,Kanawha County,West Virginia,Putnam County,872,616,256,"1,488",256
54,79,54079,54,39,54039,West Virginia,Putnam County,West Virginia,Kanawha County,616,872,-256,"1,488",256
54,39,54039,37,67,37067,West Virginia,Kanawha County,North Carolina,Forsyth County,0,253,-253,253,253
54,61,54061,54,49,54049,West Virginia,Monongalia County,West Virginia,Marion County,454,206,248,660,248
54,49,54049,54,61,54061,West Virginia,Marion County,West Virginia,Monongalia County,206,454,-248,660,248
54,49,54049,42,3,42003,West Virginia,Marion County,Pennsylvania,Allegheny County,0,239,-239,239,239
54,39,54039,37,183,37183,West Virginia,Kanawha County,North Carolina,Wake County,236,0,236,236,236
54,61,54061,54,3,54003,West Virginia,Monongalia County,West Virginia,Berkeley County,289,54,235,343,235
