from,to,value
1,2,751
1,4,1045
1,5,603
1,6,2719
1,8,2218
1,9,466
1,10,127
1,11,176
1,12,12699
1,13,16541
1,15,722
1,16,223
1,17,1771
1,18,1756
1,19,291
1,20,833
1,21,2043
1,22,3120
1,23,229
1,24,1281
1,25,672
1,26,2863
1,27,519
1,28,7306
1,29,1230
1,30,165
1,31,223
1,32,428
1,33,174
1,34,491
1,35,610
1,36,1769
1,37,3924
1,38,164
1,39,1929
1,40,1101
1,41,661
1,42,1035
1,44,79
1,45,2289
1,46,84
1,47,9408
1,48,8905
1,49,342
1,50,21
1,51,3623
1,53,1358
1,54,304
1,55,481
1,56,105
1,72,175
1,AFR,0
1,ASI,0
1,CAM,0
1,CAR,0
1,EUR,0
1,ISL,0
1,NAM,0
1,OCE,0
1,SAM,0
2,1,1421
2,4,3436
2,5,747
2,6,7105
2,8,2435
2,9,627
2,10,265
2,11,600
2,12,7699
2,13,2682
2,15,1122
2,16,2533
2,17,1921
2,18,316
2,19,836
2,20,794
2,21,1248
2,22,934
2,23,259
2,24,1781
2,25,1210
2,26,2490
2,27,1085
2,28,381
2,29,1214
2,30,1185
2,31,384
2,32,1199
2,33,207
2,34,680
2,35,612
2,36,4968
2,37,2549
2,38,545
2,39,1387
2,40,1223
2,41,2913
2,42,1281
2,44,461
2,45,1171
2,46,360
2,47,1215
2,48,7855
2,49,1758
2,50,203
2,51,2638
2,53,4148
2,54,929
2,55,515
2,56,331
2,72,117
2,AFR,0
2,ASI,0
2,CAM,0
2,CAR,0
2,EUR,0
2,ISL,0
2,NAM,0
2,OCE,0
2,SAM,0
4,1,1104
4,2,1538
4,5,1048
4,6,36109
4,8,10407
4,9,1461
4,10,225
4,11,333
4,12,6669
4,13,3701
4,15,1739
4,16,3393
4,17,6429
4,18,3204
4,19,1469
4,20,2348
4,21,1952
4,22,1541
4,23,347
4,24,1409
4,25,1672
4,26,4256
4,27,3026
4,28,576
4,29,3021
4,30,1737
4,31,2204
4,32,7879
4,33,314
4,34,1675
4,35,7062
4,36,3561
4,37,3546
4,38,1150
4,39,4611
4,40,3256
4,41,6772
4,42,2926
4,44,228
4,45,1995
4,46,756
4,47,2548
4,48,19489
4,49,7533
4,50,150
4,51,3843
4,53,9271
4,54,227
4,55,3047
4,56,1211
4,72,232
4,AFR,0
4,ASI,0
4,CAM,0
4,CAR,0
4,EUR,0
4,ISL,0
4,NAM,0
4,OCE,0
4,SAM,0
5,1,951
5,2,258
5,4,1096
5,6,3520
5,8,1322
5,9,123
5,10,0
5,11,69
5,12,2627
5,13,1310
5,15,166
5,16,345
5,17,2025
5,18,834
5,19,519
5,20,1637
5,21,630
5,22,2379
5,23,20
5,24,267
5,25,266
5,26,1384
5,27,672
5,28,2899
5,29,6562
5,30,210
5,31,396
5,32,732
5,33,148
5,34,90
5,35,355
