id,latitude,longitude,FIPS
AK,64.58147,-152.2265,02
AL,32.799,-86.8073,01
AR,34.9513,-92.3809,05
AZ,33.7712,-111.3877,04
CA,36.17,-119.7462,06
CO,39.0646,-105.3272,08
CT,41.5834,-72.7622,09
DC,38.8964,-77.0262,11
DE,39.3498,-75.5148,10
FL,27.8333,-81.717,12
GA,32.9866,-83.6487,13
HI,19.6781,-155.5664,15
IA,42.0046,-93.214,19
ID,44.2394,-114.5103,16
IL,40.3363,-89.0022,17
IN,39.8647,-86.2604,18
KS,38.5111,-96.8005,20
KY,37.669,-84.6514,21
LA,31.1801,-91.8749,22
MA,42.2373,-71.5314,25
MD,39.0724,-76.7902,24
ME,44.6074,-69.3977,23
MI,43.3504,-84.5603,26
MN,45.7326,-93.9196,27
MO,38.4623,-92.302,29
MS,32.7673,-89.6812,28
MT,46.9048,-110.3261,30
NC,35.6411,-79.8431,37
ND,47.5362,-99.793,38
NE,41.1289,-98.2883,31
NH,43.4108,-71.5653,33
NJ,40.314,-74.5089,34
NM,34.8375,-106.2371,35
NV,38.4199,-117.1219,32
NY,42.1497,-74.9384,36
OH,40.3736,-82.7755,39
OK,35.5376,-96.9247,40
OR,44.5672,-122.1269,41
PA,40.5773,-77.264,42
RI,41.6772,-71.5101,44
SC,33.8191,-80.9066,45
SD,44.2853,-99.4632,46
TN,35.7449,-86.7489,47
TX,31.106,-97.6475,48
UT,40.1135,-111.8535,49
VA,37.768,-78.2057,51
VT,44.0407,-72.7093,50
WA,47.3917,-121.5708,53
WI,44.2563,-89.6385,55
WV,38.468,-80.9696,54
WY,42.7475,-107.2085,56
