STATEFP,STUSPS,COUNTYFP,FIPS,NAME,LSAD,TYPE,longitude,latitude,ALAND,AWATER,AREA,AREAKM,POPDENSITYKM2,2010_base,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,CTYNAME
1,AL,1,1001,Autauga,6,County,-86.64364766,32.53866632,1539589643,25769317,1565358960,1565.35896,35.29286343,54571,55278,55265,55246,55395,Autauga County
1,AL,3,1003,Baldwin,6,County,-87.72248063,30.7295573,4117584013,1133129224,5250713237,5250.713237,37.24065497,182265,186727,190675,195540,200111,Baldwin County
1,AL,5,1005,Barbour,6,County,-85.38773169,31.86799132,2291820706,50864677,2342685383,2342.685383,11.55767659,27457,27301,27232,27076,26887,Barbour County
1,AL,7,1007,Bibb,6,County,-87.1251146,32.99642064,1612481559,9287974,1621769533,1621.769533,13.88113387,22919,22770,22662,22512,22506,Bibb County
1,AL,9,1009,Blount,6,County,-86.5679189,33.98230077,1670041875,15077458,1685119333,1685.119333,34.3429684,57322,57742,57807,57872,57719,Blount County
1,AL,11,1011,Bullock,6,County,-85.71264576,32.10029525,1613059135,6055023,1619114158,1619.114158,6.570877012,10915,10618,10605,10639,10764,Bullock County
1,AL,13,1013,Butler,6,County,-86.680592,31.75297636,2011976232,2727475,2014703707,2014.703707,10.05855101,20946,20662,20384,20265,20296,Butler County
1,AL,15,1015,Calhoun,6,County,-85.81956378,33.77572977,1569245411,16568577,1585813988,1585.813988,73.61266888,118572,117769,117253,116736,115916,Calhoun County
1,AL,17,1017,Chambers,6,County,-85.39072749,32.91360079,1545009121,17048126,1562057247,1562.057247,21.86987709,34170,33995,34074,34162,34076,Chambers County
1,AL,19,1019,Cherokee,6,County,-85.60609262,34.17821184,1434128031,119806782,1553934813,1553.934813,16.8623547,25986,26088,26056,26203,26037,Cherokee County
1,AL,21,1021,Chilton,6,County,-86.7173256,32.85044126,1794482899,20586310,1815069209,1815.069209,24.21450366,43642,43786,43800,43951,43931,Chilton County
1,AL,23,1023,Choctaw,6,County,-88.2656443,32.02227341,2365954971,19059247,2385014218,2385.014218,5.629316546,13858,13598,13585,13426,13323,Choctaw County
1,AL,25,1025,Clarke,6,County,-87.83544327,31.68291964,3207612185,36542657,3244154842,3244.154842,7.769974378,25840,25615,25220,25207,24945,Clarke County
1,AL,27,1027,Clay,6,County,-85.85836077,33.26984193,1564252367,5284573,1569536940,1569.53694,8.592343166,13932,13678,13458,13486,13552,Clay County
1,AL,29,1029,Cleburne,6,County,-85.51923385,33.67275131,1450663941,2354898,1453018839,1453.018839,10.3192055,14972,14960,14885,14994,15080,Cleburne County
1,AL,31,1031,Coffee,6,County,-85.98898094,31.39932862,1758565487,3907876,1762473363,1762.473363,28.9014297,49948,50503,51276,50938,50909,Coffee County
1,AL,33,1033,Colbert,6,County,-87.80168544,34.69847452,1534878331,80030048,1614908379,1614.908379,33.7604292,54428,54406,54424,54520,54543,Colbert County
1,AL,35,1035,Conecuh,6,County,-86.99245327,31.43378711,2201896058,6643480,2208539538,2208.539538,5.835077787,13228,13130,13009,12887,12670,Conecuh County
